WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
2024-06-22,North America,Canada,Alberta,Protests,Peaceful protest,3,0,4083.0,Demonstrations,485.0,54.498,-115.0035
2024-06-29,North America,Canada,Alberta,Protests,Peaceful protest,4,0,7332.0,Demonstrations,485.0,54.498,-115.0035
2024-07-06,North America,Canada,Alberta,Protests,Peaceful protest,5,0,6806.0,Demonstrations,485.0,54.498,-115.0035
2024-07-13,North America,Canada,Alberta,Protests,Peaceful protest,7,0,17378.0,Demonstrations,485.0,54.498,-115.0035
2024-07-20,North America,Canada,Alberta,Protests,Peaceful protest,9,0,20088.0,Demonstrations,485.0,54.498,-115.0035
2024-07-27,North America,Canada,Alberta,Protests,Peaceful protest,7,0,7954.0,Demonstrations,485.0,54.498,-115.0035
2024-08-03,North America,Canada,Alberta,Protests,Peaceful protest,2,0,3927.0,Demonstrations,485.0,54.498,-115.0035
2024-08-10,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2749.0,Demonstrations,485.0,54.498,-115.0035
2024-08-17,North America,Canada,Alberta,Protests,Peaceful protest,7,0,9378.0,Demonstrations,485.0,54.498,-115.0035
2024-08-24,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4889.0,Demonstrations,485.0,54.498,-115.0035
2024-08-31,North America,Canada,Alberta,Protests,Peaceful protest,5,0,4889.0,Demonstrations,485.0,54.498,-115.0035
2024-09-07,North America,Canada,Alberta,Protests,Peaceful protest,5,0,11917.0,Demonstrations,485.0,54.498,-115.0035
2024-09-14,North America,Canada,Alberta,Protests,Peaceful protest,4,0,6288.0,Demonstrations,485.0,54.498,-115.0035
2024-09-21,North America,Canada,Alberta,Protests,Peaceful protest,6,0,6288.0,Demonstrations,485.0,54.498,-115.0035
2024-09-28,North America,Canada,Alberta,Protests,Peaceful protest,5,0,4889.0,Demonstrations,485.0,54.498,-115.0035
2024-10-05,North America,Canada,Alberta,Protests,Peaceful protest,6,0,4889.0,Demonstrations,485.0,54.498,-115.0035
2024-10-12,North America,Canada,Alberta,Protests,Peaceful protest,1,0,2184.0,Demonstrations,485.0,54.498,-115.0035
2024-10-19,North America,Canada,Alberta,Protests,Peaceful protest,3,0,4889.0,Demonstrations,485.0,54.498,-115.0035
2024-10-26,North America,Canada,Alberta,Protests,Peaceful protest,2,0,4889.0,Demonstrations,485.0,54.498,-115.0035
2024-11-02,North America,Canada,Alberta,Protests,Peaceful protest,4,0,6820.0,Demonstrations,485.0,54.498,-115.0035
2024-11-09,North America,Canada,Alberta,Protests,Peaceful protest,13,0,23752.0,Demonstrations,485.0,54.498,-115.0035
2024-11-16,North America,Canada,Alberta,Protests,Peaceful protest,5,0,8448.0,Demonstrations,485.0,54.498,-115.0035
2024-11-23,North America,Canada,Alberta,Protests,Peaceful protest,5,0,7975.0,Demonstrations,485.0,54.498,-115.0035
2024-11-30,North America,Canada,Alberta,Protests,Peaceful protest,4,0,5899.0,Demonstrations,485.0,54.498,-115.0035
2024-12-07,North America,Canada,Alberta,Protests,Peaceful protest,7,0,5900.0,Demonstrations,485.0,54.498,-115.0035
2024-12-14,North America,Canada,Alberta,Protests,Peaceful protest,3,0,9680.0,Demonstrations,485.0,54.498,-115.0035
